vendor_id,is_anomaly,anomaly_type,severity,expired_certifications,explanation
V0001,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 69/100 warrants increased monitoring.
V0002,True,EXPIRED_CERTIFICATION,HIGH,SOC2;ISO27001,Certification(s) SOC2;ISO27001 expired on a vendor with Customer PII access.
V0003,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Breached in last 12 months (limited data access).
V0004,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Certification(s) ISO27001 expired.
V0005,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2;PCI-DSS,Certification(s) SOC2;PCI-DSS expired.
V0006,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS,Certification(s) PCI-DSS expired on a vendor with Customer PII access.
V0007,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 76/100 warrants increased monitoring.
V0008,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001;SOC2,Certification(s) ISO27001;SOC2 expired.
V0009,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Breached in last 12 months (limited data access).
V0010,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Certification(s) ISO27001 expired.
V0011,True,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Certification(s) ISO27001 expired.
V0012,True,RECENTLY_BREACHED_VENDOR,MEDIUM,,Breached in last 12 months (limited data access).
V0013,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2;PCI-DSS,Certification(s) SOC2;PCI-DSS expired.
V0014,False,,,,
V0015,False,,,,
V0016,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2;PCI-DSS,Certification(s) SOC2;PCI-DSS expired.
V0017,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2;PCI-DSS,Certification(s) SOC2;PCI-DSS expired.
V0018,False,,,,
V0019,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Certification(s) SOC2 expired.
V0020,False,,,,
V0021,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Certification(s) SOC2 expired.
V0022,True,HIGH_RISK_SCORE,HIGH,,Risk score 87/100 exceeds the 80 threshold.
V0023,False,,,,
V0024,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,SOC2;ISO27001,Vendor is currently under an active security investigation.
V0025,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Certification(s) SOC2 expired.
V0026,True,HIGH_RISK_SCORE,HIGH,PCI-DSS,Risk score 83/100 exceeds the 80 threshold.
V0027,True,HIGH_RISK_SCORE,HIGH,ISO27001,Risk score 92/100 exceeds the 80 threshold.
V0028,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS,Certification(s) PCI-DSS expired.
V0029,True,EXPIRED_CERTIFICATION,HIGH,ISO27001,Certification(s) ISO27001 expired on a vendor with Financial data access.
V0030,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,ISO27001;SOC2,Vendor is currently under an active security investigation.
V0031,True,EXPIRED_CERTIFICATION,HIGH,SOC2,Certification(s) SOC2 expired on a vendor with Customer PII access.
V0032,True,ELEVATED_RISK_VENDOR,LOW,,Risk score 71/100 warrants increased monitoring.
V0033,True,EXPIRED_CERTIFICATION,MEDIUM,PCI-DSS;SOC2,Certification(s) PCI-DSS;SOC2 expired.
V0034,False,,,,
V0035,True,EXPIRED_CERTIFICATION,HIGH,PCI-DSS,Certification(s) PCI-DSS expired on a vendor with Customer PII access.
V0036,False,,,,
V0037,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,ISO27001,Vendor is currently under an active security investigation.
V0038,True,EXPIRED_CERTIFICATION,HIGH,ISO27001;SOC2,Certification(s) ISO27001;SOC2 expired on a vendor with Customer PII access.
V0039,False,,,,
V0040,False,,,,
V0041,False,,,,
