vendor_id,vendor_name,type,data_access,certifications,cert_expiry,breach_status,under_investigation,financial_rating,gdpr_dpa,risk_score,annual_spend_usd,contract_start,contract_end,hosting_provider,key_subprocessor
V0001,GraniteWave Cloud,Security vendor,Customer PII,none,2026-08-30,None,False,A,True,69,110000,2025-01-29,2027-01-29,Azure,Okta
V0002,OnyxGrid Technologies,Managed service provider,Customer PII,SOC2;ISO27001,2025-04-30,None,False,B,False,62,119000,2025-10-14,2028-10-13,AWS,None
V0003,DeltaPoint Software,Software vendor,Public/Marketing,none,2025-08-04,Recent,False,A+,True,68,430000,2026-01-18,2030-01-17,AWS,Twilio
V0004,AcmeVault Solutions,Managed service provider,Logs/Telemetry,ISO27001,2026-01-22,None,False,A,True,31,3390000,2025-11-26,2029-11-25,Azure,Cloudflare
V0005,CobaltPath Technologies,Backup/Storage,Logs/Telemetry,SOC2;PCI-DSS,2025-06-19,None,False,B,True,74,1685000,2025-02-10,2029-02-09,AWS,None
V0006,SterlingGuard Data,Payment processor,Customer PII,PCI-DSS,2024-12-30,None,False,A,True,38,536000,2023-07-16,2025-07-15,Azure,None
V0007,LumenGrid Partners,Cloud provider,Financial data,PCI-DSS;ISO27001,2027-03-04,None,False,D,False,76,1815000,2025-09-05,2028-09-04,AWS,Cloudflare
V0008,CobaltForge Security,Software vendor,Public/Marketing,ISO27001;SOC2,2026-05-18,None,False,C,False,29,45000,2024-06-27,2027-06-27,AWS,None
V0009,ApexGuard Cloud,Contractor/Consultant,Internal systems,none,2024-07-05,Recent,False,C,False,41,2505000,2025-05-18,2028-05-17,Azure,None
V0010,FalconFlow Data,Contractor/Consultant,Public/Marketing,ISO27001,2024-05-02,None,False,B,True,49,361000,2026-03-09,2030-03-08,Azure,Okta
V0011,VertexStone Payments,Contractor/Consultant,Internal systems,ISO27001,2026-01-13,None,False,A-,True,71,818000,2023-08-27,2026-08-26,On-prem/Other,Stripe
V0012,DeltaStone Consulting,HR platform,Internal systems,none,2025-05-02,Recent,False,A,False,34,209000,2023-10-16,2025-10-15,AWS,Twilio
V0013,HelixPath Systems,Cloud provider,Public/Marketing,SOC2;PCI-DSS,2026-04-21,None,False,A-,True,80,403000,2026-04-17,2029-04-16,AWS,None
V0014,DeltaPath Consulting,Backup/Storage,Customer PII,SOC2,2026-11-23,None,False,A+,True,19,1509000,2023-06-27,2027-06-26,AWS,None
V0015,SilverScale Consulting,Data platform,Financial data,PCI-DSS;SOC2,2027-01-05,None,False,B,True,30,224000,2024-07-17,2026-07-17,AWS,Okta
V0016,SigmaScale Cloud,Managed service provider,Public/Marketing,SOC2;PCI-DSS,2024-05-25,None,False,A-,True,39,915000,2024-12-07,2027-12-07,AWS,Stripe
V0017,HarborForge Cloud,Backup/Storage,Internal systems,SOC2;PCI-DSS,2025-10-02,None,False,A-,True,36,690000,2024-05-19,2026-05-19,Azure,None
V0018,BlueScale Consulting,Integration partner,Customer PII,none,2026-07-03,None,False,C,False,46,2335000,2023-11-28,2027-11-27,AWS,Okta
V0019,OnyxStone Payments,Integration partner,Internal systems,SOC2,2025-07-04,None,False,C,True,57,230000,2024-11-26,2028-11-25,AWS,None
V0020,SilverByte HR,Data platform,Public/Marketing,SOC2;ISO27001,2027-02-05,None,False,A-,True,51,1672000,2024-11-29,2027-11-29,AWS,None
V0021,MeridianGuard Technologies,Security vendor,Internal systems,SOC2,2025-12-26,None,False,C,True,33,374000,2024-01-24,2028-01-23,On-prem/Other,Cloudflare
V0022,CobaltLedger Partners,Data platform,Customer PII,none,2024-10-19,None,False,A+,True,87,1270000,2025-08-28,2028-08-27,GCP,Twilio
V0023,AtlasPath Consulting,Backup/Storage,Logs/Telemetry,ISO27001;PCI-DSS,2026-11-04,Old,False,A-,True,30,752000,2024-08-14,2028-08-13,AWS,Stripe
